announcement_id,created_at,id,name,phase,scope
1,2025-04-04 19:42:36.480892,1,apply_doc_1_1.pdf,APPLY,COMMON
2,2024-08-27 08:50:29.447742,2,doc_result_doc_2_1.pdf,DOC_RESULT,TARGET_ONLY
3,2025-01-31 01:26:18.372861,3,apply_doc_3_1.pdf,APPLY,TARGET_ONLY
3,2025-02-15 23:32:08.251566,4,doc_result_doc_3_2.pdf,DOC_RESULT,COMMON
7,2025-04-07 22:32:37.361403,5,apply_doc_7_1.pdf,APPLY,TARGET_ONLY
8,2024-06-04 01:22:50.963342,6,apply_doc_8_1.pdf,APPLY,COMMON
8,2024-06-03 03:11:49.934150,7,apply_doc_8_2.pdf,APPLY,COMMON
9,2024-03-31 11:44:37.734880,8,apply_doc_9_1.pdf,APPLY,TARGET_ONLY
10,2025-07-30 14:36:23.774708,9,doc_result_doc_10_1.pdf,DOC_RESULT,TARGET_ONLY
10,2025-07-30 05:10:59.201208,10,apply_doc_10_2.pdf,APPLY,TARGET_ONLY
11,2025-05-12 02:14:30.815667,11,doc_result_doc_11_1.pdf,DOC_RESULT,COMMON
13,2025-02-02 07:52:17.093858,12,apply_doc_13_1.pdf,APPLY,COMMON
15,2025-09-11 07:14:29.185782,13,doc_result_doc_15_1.pdf,DOC_RESULT,TARGET_ONLY
16,2024-11-21 22:36:15.655182,14,doc_result_doc_16_1.pdf,DOC_RESULT,TARGET_ONLY
17,2025-07-12 18:11:09.700004,15,doc_result_doc_17_1.pdf,DOC_RESULT,COMMON
17,2025-07-16 02:53:21.472477,16,doc_result_doc_17_2.pdf,DOC_RESULT,TARGET_ONLY
18,2024-03-11 20:57:18.737318,17,doc_result_doc_18_1.pdf,DOC_RESULT,TARGET_ONLY
19,2024-04-02 23:00:07.841804,18,doc_result_doc_19_1.pdf,DOC_RESULT,TARGET_ONLY
21,2024-12-12 03:48:28.545258,19,apply_doc_21_1.pdf,APPLY,TARGET_ONLY
22,2024-12-29 05:20:32.805803,20,doc_result_doc_22_1.pdf,DOC_RESULT,COMMON
22,2025-01-10 18:41:04.191292,21,apply_doc_22_2.pdf,APPLY,TARGET_ONLY
24,2024-09-03 15:32:03.067451,22,apply_doc_24_1.pdf,APPLY,TARGET_ONLY
24,2024-09-05 23:05:35.132667,23,doc_result_doc_24_2.pdf,DOC_RESULT,COMMON
25,2024-05-09 06:58:04.512823,24,apply_doc_25_1.pdf,APPLY,COMMON
26,2025-07-16 10:32:11.836455,25,doc_result_doc_26_1.pdf,DOC_RESULT,TARGET_ONLY
26,2025-07-17 21:59:36.699200,26,doc_result_doc_26_2.pdf,DOC_RESULT,TARGET_ONLY
27,2025-10-13 08:44:57.324633,27,apply_doc_27_1.pdf,APPLY,COMMON
29,2024-07-17 10:50:48.383325,28,doc_result_doc_29_1.pdf,DOC_RESULT,COMMON
29,2024-07-09 11:38:44.218980,29,doc_result_doc_29_2.pdf,DOC_RESULT,TARGET_ONLY
30,2024-03-28 09:59:59.883101,30,doc_result_doc_30_1.pdf,DOC_RESULT,TARGET_ONLY
31,2024-10-05 08:46:28.827048,31,doc_result_doc_31_1.pdf,DOC_RESULT,COMMON
31,2024-10-01 05:57:20.845822,32,apply_doc_31_2.pdf,APPLY,TARGET_ONLY
34,2025-11-26 18:48:50.005920,33,doc_result_doc_34_1.pdf,DOC_RESULT,TARGET_ONLY
34,2025-11-23 16:32:37.377042,34,apply_doc_34_2.pdf,APPLY,TARGET_ONLY
36,2025-11-05 06:51:48.572225,35,doc_result_doc_36_1.pdf,DOC_RESULT,COMMON
36,2025-11-10 12:51:45.982764,36,apply_doc_36_2.pdf,APPLY,TARGET_ONLY
37,2025-12-26 16:22:02.878991,37,doc_result_doc_37_1.pdf,DOC_RESULT,TARGET_ONLY
37,2025-12-18 23:42:49.617716,38,doc_result_doc_37_2.pdf,DOC_RESULT,COMMON
39,2024-02-17 03:35:03.541437,39,apply_doc_39_1.pdf,APPLY,TARGET_ONLY
39,2024-02-17 08:37:59.100408,40,apply_doc_39_2.pdf,APPLY,COMMON
40,2024-03-04 01:52:00.611913,41,apply_doc_40_1.pdf,APPLY,TARGET_ONLY
40,2024-03-06 13:23:33.573697,42,doc_result_doc_40_2.pdf,DOC_RESULT,TARGET_ONLY
41,2024-09-05 18:59:03.077503,43,doc_result_doc_41_1.pdf,DOC_RESULT,COMMON
41,2024-09-01 03:25:31.311964,44,doc_result_doc_41_2.pdf,DOC_RESULT,COMMON
43,2025-11-18 09:31:48.625857,45,apply_doc_43_1.pdf,APPLY,TARGET_ONLY
