announcement_id,created_at,overview_id,updated_at,apply_method,content,target
2,2024-08-20 15:06:12.758845,1,2024-08-30 18:15:56.859308,모바일,분양,일반
3,2025-01-28 13:14:46.648347,2,2025-02-13 00:09:12.389595,모바일,행복주택,청년
4,2024-04-29 06:41:36.551429,3,2024-05-03 08:31:39.982694,방문,전세,고령자
6,2024-05-04 21:48:10.720384,4,2024-05-08 22:36:27.708202,방문,전세,무주택자
7,2025-04-08 14:57:50.915856,5,2025-04-09 10:27:27.544500,인터넷,임대,청년
8,2024-06-04 10:28:02.626691,6,2024-06-05 07:03:03.543805,우편,행복주택,청년
9,2024-04-01 17:03:30.365762,7,2024-04-01 21:39:40.335112,모바일,임대,무주택자
10,2025-07-30 10:50:50.628532,8,2025-07-30 16:24:23.276536,모바일,행복주택,무주택자
11,2025-05-06 10:49:11.893788,9,2025-05-17 17:13:36.979983,인터넷,행복주택,신혼부부
12,2025-10-29 13:10:44.509844,10,2025-11-18 09:26:56.526499,인터넷,임대,고령자
14,2024-01-24 14:24:19.317488,11,2024-01-25 11:26:34.928014,인터넷,임대,청년
15,2025-09-09 00:39:36.594929,12,2025-09-11 10:15:19.939528,우편,전세,고령자
16,2024-11-29 16:54:29.346693,13,2024-12-01 07:38:17.130877,모바일,임대,신혼부부
17,2025-07-29 16:50:52.506262,14,2025-08-01 19:44:58.816169,우편,행복주택,고령자
18,2024-03-13 20:18:44.497276,15,2024-03-13 21:48:01.257509,우편,행복주택,신혼부부
19,2024-04-15 06:08:27.977390,16,2024-04-15 18:29:13.348048,모바일,행복주택,고령자
21,2024-12-15 13:49:41.617489,17,2024-12-19 06:08:50.675998,방문,전세,고령자
22,2024-12-31 23:16:25.472759,18,2025-01-14 15:52:05.739607,우편,행복주택,신혼부부
23,2024-08-06 22:53:35.443861,19,2024-08-10 16:49:48.500083,우편,분양,신혼부부
24,2024-08-27 17:52:36.385142,20,2024-09-05 16:18:28.053071,방문,임대,청년
25,2024-05-09 03:25:32.376749,21,2024-05-09 12:57:20.269319,모바일,임대,무주택자
26,2025-07-17 21:03:37.815506,22,2025-07-18 01:22:20.287646,방문,분양,무주택자
27,2025-10-06 17:39:19.001480,23,2025-10-20 23:01:10.799239,인터넷,분양,일반
29,2024-07-16 00:26:14.619050,24,2024-07-17 06:39:38.221224,우편,분양,일반
30,2024-03-13 13:13:09.099506,25,2024-03-20 08:07:55.653911,우편,분양,신혼부부
31,2024-09-29 03:55:48.630480,26,2024-10-11 07:53:32.255930,인터넷,분양,청년
32,2025-11-28 23:10:36.664709,27,2025-11-30 15:29:25.465388,모바일,행복주택,무주택자
33,2025-06-24 21:29:00.860474,28,2025-06-25 11:32:37.262295,우편,행복주택,청년
34,2025-11-11 19:50:34.982341,29,2025-11-30 11:18:05.082565,방문,매입임대,청년
35,2024-04-30 14:47:56.198041,30,2024-04-30 15:33:48.986945,우편,분양,고령자
36,2025-11-22 01:10:39.240631,31,2025-11-22 15:57:30.133209,우편,행복주택,신혼부부
38,2025-04-12 21:08:15.846253,32,2025-04-13 11:24:53.572365,모바일,분양,신혼부부
40,2024-03-06 21:48:25.071801,33,2024-03-06 23:55:27.536111,모바일,분양,무주택자
41,2024-08-28 20:35:00.137477,34,2024-08-29 21:38:18.636768,우편,임대,일반
45,2024-05-05 01:06:17.601866,35,2024-05-06 21:22:54.268785,방문,행복주택,청년
46,2024-01-24 23:02:16.594100,36,2024-01-25 14:15:40.079651,우편,분양,청년
47,2024-10-28 19:16:07.055888,37,2024-10-31 18:44:08.284643,방문,분양,일반
