announcement_id,created_at,region_id,region_name
1,2025-03-25 07:12:14.323819,1,지방
1,2025-04-02 08:00:42.763198,2,전국
1,2025-03-21 08:10:41.488904,3,특정지역
2,2024-08-22 12:16:29.084153,4,전국
2,2024-08-19 23:59:05.408541,5,경기
2,2024-08-26 16:11:01.289705,6,특정지역
3,2025-02-17 18:41:28.214959,7,특정지역
4,2024-05-09 23:05:34.818512,8,수도권
5,2025-03-30 02:48:24.722689,9,서울
5,2025-04-05 21:08:51.448012,10,특정지역
6,2024-05-07 18:27:51.010217,11,부산
6,2024-05-16 03:33:33.629549,12,수도권
6,2024-05-04 07:12:01.415195,13,특정지역
7,2025-04-02 20:38:45.098966,14,전국
8,2024-06-10 05:27:14.960143,15,전국
8,2024-06-04 19:29:19.642087,16,특정지역
8,2024-06-09 21:56:17.081524,17,대구
9,2024-04-01 00:29:52.858822,18,수도권
10,2025-07-29 21:21:41.644621,19,지방
10,2025-07-30 14:39:27.784784,20,부산
10,2025-07-30 17:40:23.852429,21,전국
11,2025-05-15 07:41:36.846120,22,지방
11,2025-05-07 11:25:49.980550,23,전국
12,2025-11-07 15:11:20.634318,24,전국
12,2025-10-29 21:28:54.374177,25,특정지역
13,2025-02-04 14:29:29.240533,26,경기
13,2025-02-06 22:14:42.541739,27,특정지역
14,2024-01-26 10:00:35.547527,28,수도권
14,2024-01-24 00:15:23.949083,29,전국
14,2024-01-25 07:29:46.538854,30,특정지역
15,2025-09-11 20:04:20.209938,31,수도권
16,2024-11-27 21:39:23.482745,32,수도권
16,2024-11-28 09:46:52.878927,33,전국
16,2024-11-23 09:19:01.881952,34,특정지역
17,2025-07-11 06:14:40.170300,35,지방
17,2025-07-24 19:14:40.036513,36,부산
17,2025-08-01 17:47:08.189681,37,전국
18,2024-03-12 00:07:23.216122,38,지방
18,2024-03-13 23:26:05.755250,39,특정지역
19,2024-04-02 12:48:44.875722,40,지방
20,2024-10-18 18:43:44.041709,41,수도권
21,2024-12-07 12:06:40.751479,42,전국
21,2024-12-10 00:10:38.025376,43,특정지역
22,2024-12-25 11:27:37.688778,44,전국
22,2025-01-07 22:59:20.087266,45,서울
23,2024-08-07 23:42:41.582920,46,지방
24,2024-09-01 20:27:02.506462,47,지방
24,2024-09-05 18:02:17.682653,48,전국
25,2024-05-09 08:19:11.088237,49,지방
25,2024-05-09 12:34:07.384766,50,전국
26,2025-07-06 13:30:40.884682,51,지방
26,2025-07-07 04:49:32.027933,52,전국
26,2025-07-10 11:58:24.181700,53,경기
27,2025-10-18 12:14:27.491067,54,특정지역
28,2024-01-30 01:36:21.538185,55,지방
28,2024-01-30 14:17:24.747951,56,수도권
28,2024-01-30 20:02:00.677985,57,특정지역
29,2024-07-17 20:29:34.679505,58,수도권
29,2024-07-10 06:38:30.855301,59,전국
29,2024-07-17 16:54:32.472391,60,대구
30,2024-03-17 12:23:49.276528,61,지방
30,2024-03-15 16:51:06.581369,62,수도권
30,2024-03-31 05:19:07.006853,63,전국
31,2024-10-12 06:21:10.926112,64,지방
31,2024-10-11 13:45:45.909502,65,수도권
31,2024-10-03 18:45:40.412748,66,특정지역
32,2025-11-15 19:50:53.177347,67,특정지역
33,2025-06-17 13:27:37.463463,68,특정지역
34,2025-11-19 03:54:55.385257,69,지방
34,2025-11-28 06:34:59.751624,70,수도권
34,2025-11-18 13:00:29.965192,71,인천
35,2024-04-30 16:17:57.156997,72,부산
35,2024-05-01 08:44:48.799228,73,전국
35,2024-04-30 13:27:21.749750,74,특정지역
36,2025-11-07 00:39:06.255800,75,전국
36,2025-11-17 05:14:17.282770,76,특정지역
37,2025-12-31 12:14:12.450641,77,수도권
37,2026-01-04 11:34:44.327788,78,서울
37,2025-12-19 08:55:46.326154,79,특정지역
38,2025-04-12 15:31:24.921747,80,지방
38,2025-04-13 14:55:29.781748,81,수도권
38,2025-04-12 20:58:09.283321,82,특정지역
39,2024-02-16 19:23:26.813894,83,전국
39,2024-02-17 01:01:46.622199,84,대구
39,2024-02-16 23:50:35.987950,85,특정지역
40,2024-03-05 20:28:13.812720,86,지방
41,2024-09-01 01:39:12.083946,87,지방
42,2024-09-24 13:05:23.553802,88,수도권
42,2024-09-24 08:13:48.098075,89,부산
42,2024-09-25 10:28:44.221018,90,특정지역
43,2025-11-19 13:12:39.332951,91,지방
43,2025-11-14 18:31:50.974811,92,수도권
43,2025-12-06 17:52:27.846297,93,경기
44,2025-09-11 21:06:21.178121,94,부산
44,2025-09-26 05:21:21.495062,95,전국
44,2025-09-24 18:35:15.059807,96,수도권
45,2024-05-09 02:08:22.378554,97,지방
45,2024-05-09 06:28:55.057260,98,전국
46,2024-01-22 04:31:22.522939,99,지방
46,2024-02-01 22:01:45.491269,100,대구
46,2024-01-20 08:01:58.248365,101,특정지역
47,2024-11-01 04:15:21.974479,102,지방
47,2024-11-02 22:26:13.231678,103,수도권
47,2024-10-29 04:59:48.852012,104,전국
48,2025-08-27 16:29:04.366681,105,수도권
49,2024-04-07 07:51:33.596054,106,인천
50,2025-03-08 04:27:10.690263,107,전국
50,2025-03-08 23:19:10.013914,108,서울
50,2025-02-27 09:45:03.417474,109,특정지역
51,2025-05-20 15:38:58.193984,110,수도권
52,2024-02-06 16:48:46.779882,111,전국
53,2024-06-09 18:58:46.345933,112,지방
53,2024-05-30 09:48:55.935001,113,수도권
53,2024-05-27 14:52:46.715136,114,특정지역
54,2024-06-13 20:53:17.058637,115,대구
54,2024-06-10 11:19:18.645338,116,특정지역
55,2024-10-09 18:30:40.522609,117,수도권
56,2025-10-30 11:30:01.665361,118,대구
57,2025-03-24 13:36:12.899655,119,부산
58,2025-03-27 23:47:28.674521,120,지방
58,2025-03-18 07:47:19.130721,121,수도권
58,2025-04-03 05:25:02.376511,122,특정지역
59,2025-10-08 06:08:57.105028,123,지방
59,2025-10-06 05:11:51.100625,124,부산
59,2025-10-17 07:53:25.455693,125,특정지역
60,2025-02-14 14:42:12.339923,126,지방
60,2025-02-12 11:08:13.877716,127,수도권
61,2025-10-02 18:21:20.241847,128,전국
62,2024-05-10 18:28:05.563030,129,수도권
63,2024-06-25 05:38:23.053942,130,전국
64,2024-08-06 10:55:06.489297,131,지방
64,2024-08-02 01:28:31.499163,132,수도권
65,2025-05-18 17:57:22.682670,133,지방
65,2025-05-15 03:01:09.343993,134,전국
66,2024-09-10 07:19:09.781614,135,수도권
67,2025-11-01 02:28:36.906454,136,수도권
67,2025-10-31 12:36:58.436809,137,전국
67,2025-10-31 18:54:35.994194,138,인천
68,2025-08-20 06:17:05.412222,139,지방
68,2025-08-26 12:34:07.681136,140,수도권
69,2024-10-16 21:17:26.371664,141,지방
69,2024-10-18 06:48:17.528094,142,수도권
69,2024-10-19 18:13:06.261412,143,특정지역
70,2024-03-19 10:45:42.454582,144,전국
70,2024-04-04 15:37:52.432163,145,특정지역
71,2024-07-29 22:10:09.766353,146,전국
71,2024-07-28 18:57:19.028533,147,특정지역
72,2024-12-28 01:21:17.398054,148,특정지역
73,2024-01-18 01:14:22.116953,149,지방
73,2024-01-28 23:12:04.303582,150,전국
73,2024-02-03 05:24:17.663645,151,특정지역
74,2024-01-23 01:35:34.199331,152,수도권
74,2024-01-30 16:20:34.005366,153,전국
74,2024-01-23 05:31:36.743599,154,대구
75,2024-12-04 04:06:10.817301,155,부산
75,2024-12-06 02:06:44.424316,156,전국
