announcement_id,created_at,summary_id,updated_at,summary
1,2025-03-31 04:17:06.328931,1,2025-04-04 17:53:33.393372,인천 공고 요약 1
2,2024-09-06 16:32:54.966872,2,2024-09-07 11:24:05.687663,경기 공고 요약 2
3,2025-02-11 17:29:23.985422,3,2025-02-16 23:15:55.889189,부산 공고 요약 3
4,2024-04-26 11:39:06.911838,4,2024-05-09 07:49:58.412602,부산 공고 요약 4
6,2024-05-05 19:08:55.050491,5,2024-05-08 15:06:40.627049,부산 공고 요약 6
9,2024-03-31 16:03:30.058450,6,2024-04-01 09:50:30.102538,부산 공고 요약 9
10,2025-07-30 01:03:40.743831,7,2025-07-30 02:49:17.890883,부산 공고 요약 10
11,2025-05-16 09:55:41.723207,8,2025-05-22 11:41:53.734333,대구 공고 요약 11
12,2025-10-31 09:24:58.144080,9,2025-11-09 05:40:34.591786,경기 공고 요약 12
14,2024-01-25 07:50:56.907778,10,2024-01-27 07:22:54.742399,부산 공고 요약 14
16,2024-11-28 02:01:39.727436,11,2024-12-01 01:01:26.109960,서울 공고 요약 16
18,2024-03-12 02:52:54.293654,12,2024-03-12 07:02:01.564563,부산 공고 요약 18
21,2024-12-14 03:13:20.480741,13,2024-12-17 23:52:42.283957,서울 공고 요약 21
22,2025-01-18 04:40:06.456251,14,2025-01-18 10:43:35.135332,서울 공고 요약 22
24,2024-08-28 14:58:00.445147,15,2024-09-03 15:43:40.916443,부산 공고 요약 24
26,2025-07-08 02:08:03.998452,16,2025-07-13 15:02:57.069063,경기 공고 요약 26
28,2024-01-29 13:36:48.052644,17,2024-01-30 16:18:26.428991,서울 공고 요약 28
30,2024-03-06 15:20:17.446278,18,2024-03-20 09:16:03.916731,인천 공고 요약 30
32,2025-11-24 11:36:26.854628,19,2025-11-28 11:45:04.770832,경기 공고 요약 32
34,2025-11-30 01:18:05.044203,20,2025-12-03 06:59:48.226723,인천 공고 요약 34
35,2024-05-01 06:31:00.743725,21,2024-05-01 07:36:53.276241,부산 공고 요약 35
36,2025-11-11 19:10:15.209918,22,2025-11-13 05:13:35.765397,서울 공고 요약 36
38,2025-04-12 16:32:00.760833,23,2025-04-12 19:54:16.293904,경기 공고 요약 38
39,2024-02-17 06:45:50.350684,24,2024-02-17 08:21:39.758652,대구 공고 요약 39
41,2024-09-02 02:31:27.457722,25,2024-09-03 15:07:53.476358,경기 공고 요약 41
42,2024-09-25 13:10:46.042183,26,2024-09-25 13:45:53.114199,부산 공고 요약 42
44,2025-09-14 20:22:32.157564,27,2025-09-24 18:14:35.629343,부산 공고 요약 44
47,2024-10-31 18:22:55.158766,28,2024-10-31 20:04:34.149691,부산 공고 요약 47
