announcement_id,created_at,id,user_id
29610,2025-12-23 23:53:09.846730,1,01JABCDE1234567890ABCDEFG2
3061,2025-12-11 02:53:55.209574,2,01JABCDE1234567890ABCDEFG2
12681,2026-01-26 09:47:36.834830,3,01JABCDE1234567890ABCDEFG2
20956,2026-01-21 04:46:26.749684,4,01JABCDE1234567890ABCDEFG3
6283,2026-01-01 08:11:26.150390,5,01JABCDE1234567890ABCDEFG3
15188,2025-11-26 06:00:29.559551,6,01JABCDE1234567890ABCDEFG3
4969,2025-12-23 09:53:37.964272,7,DN65R6PPG2X7R5JQC42EJ5E6RH
4134,2025-12-09 00:08:51.916622,8,XQAQPDH4AFAXRHEM3E2MSH4DMD
17159,2025-12-03 03:52:26.237865,9,XQAQPDH4AFAXRHEM3E2MSH4DMD
15415,2026-02-07 19:25:30.528505,10,043E42N4FHZD8YFYTC66VPVTX3
14497,2025-12-23 10:10:21.144578,11,043E42N4FHZD8YFYTC66VPVTX3
11964,2025-10-21 19:04:31.400104,12,G8P4FQJAWK0K68G769HJDNDGZG
5102,2025-12-04 10:41:21.164475,13,G8P4FQJAWK0K68G769HJDNDGZG
11587,2026-01-04 18:41:34.635662,14,DF6PT9FABT1BNTFHA6R2YECXPK
4271,2026-01-25 05:16:42.280456,15,EE1CSNH4HPSN17GBG26VPMV7RC
17000,2025-12-06 12:56:12.657720,16,EE1CSNH4HPSN17GBG26VPMV7RC
8771,2026-01-10 00:36:20.585305,17,G2V0CQV4NM7KKTMSJ8CTRBKS0K
18251,2025-11-10 14:14:44.207323,18,G2V0CQV4NM7KKTMSJ8CTRBKS0K
15130,2025-11-06 03:00:33.110516,19,JDVMXWWDYA5JN5FKEC912FY4XT
13228,2025-10-13 22:15:57.891101,20,JDVMXWWDYA5JN5FKEC912FY4XT
26934,2025-12-04 01:30:08.322360,21,DTR1RY0PKRTEZEHVZ1RNSAX81S
19207,2025-11-12 07:48:56.956207,22,DTR1RY0PKRTEZEHVZ1RNSAX81S
13112,2025-11-23 10:09:26.954445,23,15V8XB3GRMDXMNRHTG5Y13PE42
4284,2025-12-24 16:00:36.294354,24,15V8XB3GRMDXMNRHTG5Y13PE42
24549,2026-01-14 19:20:27.135221,25,15V8XB3GRMDXMNRHTG5Y13PE42
12059,2025-10-25 05:10:01.857984,26,1FC19F8Y7DXGQA7AK61KRSC4F6
13264,2025-11-26 21:54:52.626559,27,1FC19F8Y7DXGQA7AK61KRSC4F6
24765,2026-02-07 10:08:31.615145,28,1FC19F8Y7DXGQA7AK61KRSC4F6
4857,2025-11-16 17:44:07.527028,29,K72PVQ4N0TZ6VQX9VBHYXVHMF5
27369,2025-12-01 17:22:25.536011,30,K72PVQ4N0TZ6VQX9VBHYXVHMF5
14999,2026-02-04 17:06:38.006823,31,K72PVQ4N0TZ6VQX9VBHYXVHMF5
24859,2026-01-30 20:26:02.832529,32,HWFXRN1ZMBZDPGNHH0C5FTZFYZ
29941,2025-11-06 07:15:36.242640,33,W15JESFKQYPVNPXHKGE7CM7BCD
12769,2025-12-02 20:51:35.515012,34,W15JESFKQYPVNPXHKGE7CM7BCD
23514,2025-12-06 06:43:34.732606,35,YHJ6CJEQBK08H23J8Z60JYYWNB
